Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ    Galutinis (Vid.)    Galutinis (Med.)    
Pavarde818     Vardas818      1    4    5    6    10   9      7.48                7.40                
Pavarde389     Vardas389      2    4    5    5    10   9      7.48                7.40                
Pavarde334     Vardas334      3    4    4    6    9    9      7.48                7.00                
Pavarde493     Vardas493      1    4    6    7    8    9      7.48                7.80                
Pavarde516     Vardas516      2    4    6    7    7    9      7.48                7.80                
Pavarde517     Vardas517      2    4    4    6    10   9      7.48                7.00                
Pavarde665     Vardas665      2    4    4    8    8    9      7.48                7.00                
Pavarde676     Vardas676      1    3    6    7    9    9      7.48                7.80                
Pavarde976     Vardas976      5    7    9    10   10   7      7.48                7.80                
Pavarde761     Vardas761      2    4    7    10   10   8      7.44                7.60                
Pavarde258     Vardas258      2    4    8    9    10   8      7.44                8.00                
Pavarde636     Vardas636      2    4    8    9    10   8      7.44                8.00                
Pavarde417     Vardas417      4    7    9    10   10   7      7.40                7.80                
Pavarde45      Vardas45       1    2    6    7    9    9      7.40                7.80                
Pavarde990     Vardas990      2    2    4    8    9    9      7.40                7.00                
Pavarde32      Vardas32       2    2    2    9    10   9      7.40                6.20                
Pavarde605     Vardas605      3    3    3    7    9    9      7.40                6.60                
Pavarde582     Vardas582      3    6    6    7    10   8      7.36                7.20                
Pavarde841     Vardas841      2    5    7    9    9    8      7.36                7.60                
Pavarde192     Vardas192      2    5    7    8    10   8      7.36                7.60                
Pavarde242     Vardas242      5    5    6    6    10   8      7.36                7.20                
Pavarde2       Vardas2        1    3    3    5    5    10     7.36                7.20                
Pavarde699     Vardas699      1    2    3    5    6    10     7.36                7.20                
Pavarde422     Vardas422      1    4    5    7    7    9      7.32                7.40                
Pavarde736     Vardas736      1    1    6    7    9    9      7.32                7.80                
Pavarde982     Vardas982      2    2    2    9    9    9      7.32                6.20                
Pavarde868     Vardas868      1    1    2    10   10   9      7.32                6.20                
Pavarde435     Vardas435      1    1    7    7    8    9      7.32                8.20                
Pavarde140     Vardas140      1    2    3    9    9    9      7.32                6.60                
Pavarde875     Vardas875      1    4    4    6    9    9      7.32                7.00                
Pavarde766     Vardas766      1    1    2    10   10   9      7.32                6.20                
Pavarde561     Vardas561      2    3    7    9    10   8      7.28                7.60                
Pavarde512     Vardas512      4    5    6    7    9    8      7.28                7.20                
Pavarde776     Vardas776      3    4    5    9    10   8      7.28                6.80                
Pavarde349     Vardas349      3    5    6    8    9    8      7.28                7.20                
Pavarde898     Vardas898      3    4    6    9    9    8      7.28                7.20                
Pavarde962     Vardas962      2    5    6    8    10   8      7.28                7.20                
Pavarde580     Vardas580      3    3    6    9    10   8      7.28                7.20                
Pavarde529     Vardas529      3    4    7    8    9    8      7.28                7.60                
Pavarde921     Vardas921      3    6    9    10   10   7      7.24                7.80                
Pavarde368     Vardas368      5    6    8    9    10   7      7.24                7.40                
Pavarde354     Vardas354      2    2    2    8    9    9      7.24                6.20                
Pavarde693     Vardas693      1    2    5    6    9    9      7.24                7.40                
Pavarde103     Vardas103      4    5    5    7    9    8      7.20                6.80                
Pavarde407     Vardas407      1    6    6    8    9    8      7.20                7.20                
Pavarde953     Vardas953      3    5    5    8    9    8      7.20                6.80                
Pavarde924     Vardas924      4    4    5    8    9    8      7.20                6.80                
Pavarde56      Vardas56       4    4    5    7    10   8      7.20                6.80                
Pavarde674     Vardas674      3    6    7    7    7    8      7.20                7.60                
Pavarde353     Vardas353      2    6    6    7    9    8      7.20                7.20                
Pavarde668     Vardas668      2    2    3    4    4    10     7.20                7.20                
Pavarde255     Vardas255      1    8    8    10   10   7      7.16                7.40                
Pavarde430     Vardas430      1    4    4    5    8    9      7.16                7.00                
Pavarde460     Vardas460      1    3    4    7    7    9      7.16                7.00                
Pavarde958     Vardas958      1    2    2    8    9    9      7.16                6.20                
Pavarde813     Vardas813      2    3    5    5    7    9      7.16                7.40                
Pavarde145     Vardas145      1    3    4    6    8    9      7.16                7.00                
Pavarde815     Vardas815      1    3    4    6    8    9      7.16                7.00                
Pavarde232     Vardas232      2    3    7    8    9    8      7.12                7.60                
Pavarde433     Vardas433      5    5    5    7    7    8      7.12                6.80                
Pavarde872     Vardas872      2    6    6    7    8    8      7.12                7.20                
Pavarde49      Vardas49       3    6    6    7    7    8      7.12                7.20                
Pavarde644     Vardas644      1    1    2    2    8    10     7.12                6.80                
Pavarde716     Vardas716      4    4    4    8    9    8      7.12                6.40                
Pavarde955     Vardas955      3    4    5    7    10   8      7.12                6.80                
Pavarde297     Vardas297      4    4    5    7    9    8      7.12                6.80                
Pavarde13      Vardas13       2    3    8    8    8    8      7.12                8.00                
Pavarde321     Vardas321      4    7    7    9    9    7      7.08                7.00                
Pavarde253     Vardas253      1    1    4    6    9    9      7.08                7.00                
Pavarde467     Vardas467      2    2    5    6    6    9      7.08                7.40                
Pavarde524     Vardas524      1    2    3    5    10   9      7.08                6.60                
Pavarde314     Vardas314      1    3    5    5    7    9      7.08                7.40                
Pavarde749     Vardas749      1    3    5    6    6    9      7.08                7.40                
Pavarde276     Vardas276      1    2    3    5    10   9      7.08                6.60                
Pavarde289     Vardas289      2    4    4    8    10   8      7.04                6.40                
Pavarde373     Vardas373      1    2    7    9    9    8      7.04                7.60                
Pavarde463     Vardas463      1    2    3    3    4    10     7.04                7.20                
Pavarde816     Vardas816      3    5    5    7    8    8      7.04                6.80                
Pavarde817     Vardas817      1    3    5    9    10   8      7.04                6.80                
Pavarde274     Vardas274      1    4    6    8    9    8      7.04                7.20                
Pavarde105     Vardas105      7    8    8    10   10   6      7.04                6.80                
Pavarde183     Vardas183      3    5    6    6    8    8      7.04                7.20                
Pavarde118     Vardas118      1    3    7    8    9    8      7.04                7.60                
Pavarde1000    Vardas1000     4    4    5    7    8    8      7.04                6.80                
Pavarde656     Vardas656      5    7    7    8    8    7      7.00                7.00                
Pavarde38      Vardas38       1    8    8    8    10   7      7.00                7.40                
Pavarde711     Vardas711      4    6    6    9    10   7      7.00                6.60                
Pavarde993     Vardas993      2    5    8    10   10   7      7.00                7.40                
Pavarde637     Vardas637      1    4    4    5    6    9      7.00                7.00                
Pavarde870     Vardas870      1    2    2    7    8    9      7.00                6.20                
Pavarde799     Vardas799      7    8    8    9    10   6      6.96                6.80                
Pavarde159     Vardas159      1    3    5    8    10   8      6.96                6.80                
Pavarde744     Vardas744      3    4    6    6    8    8      6.96                7.20                
Pavarde954     Vardas954      1    3    5    8    10   8      6.96                6.80                
Pavarde825     Vardas825      1    4    6    6    10   8      6.96                7.20                
Pavarde678     Vardas678      2    2    5    8    10   8      6.96                6.80                
Pavarde112     Vardas112      1    1    2    3    5    10     6.96                6.80                
Pavarde238     Vardas238      2    3    3    4    7    9      6.92                6.60                
Pavarde391     Vardas391      3    5    7    9    10   7      6.92                7.00                
Pavarde261     Vardas261      3    6    7    8    10   7      6.92                7.00                
Pavarde286     Vardas286      5    6    7    8    8    7      6.92                7.00                
Pavarde99      Vardas99       2    2    3    6    6    9      6.92                6.60                
Pavarde767     Vardas767      2    7    7    8    10   7      6.92                7.00                
Pavarde729     Vardas729      1    5    5    7    8    8      6.88                6.80                
Pavarde476     Vardas476      1    2    5    9    9    8      6.88                6.80                
Pavarde87      Vardas87       4    4    4    6    8    8      6.88                6.40                
Pavarde490     Vardas490      1    1    5    9    10   8      6.88                6.80                
Pavarde568     Vardas568      1    3    4    8    10   8      6.88                6.40                
Pavarde123     Vardas123      1    4    5    6    10   8      6.88                6.80                
Pavarde111     Vardas111      2    3    4    7    10   8      6.88                6.40                
Pavarde233     Vardas233      1    1    5    5    6    9      6.84                7.40                
Pavarde779     Vardas779      1    3    3    5    6    9      6.84                6.60                
Pavarde237     Vardas237      2    5    7    9    10   7      6.84                7.00                
Pavarde234     Vardas234      3    5    6    9    10   7      6.84                6.60                
Pavarde583     Vardas583      6    6    6    7    8    7      6.84                6.60                
Pavarde247     Vardas247      1    4    4    6    10   8      6.80                6.40                
Pavarde821     Vardas821      2    3    4    8    8    8      6.80                6.40                
Pavarde309     Vardas309      2    2    3    8    10   8      6.80                6.00                
Pavarde382     Vardas382      3    4    5    6    7    8      6.80                6.80                
Pavarde409     Vardas409      1    3    6    6    9    8      6.80                7.20                
Pavarde453     Vardas453      3    4    5    5    8    8      6.80                6.80                
Pavarde196     Vardas196      6    7    8    9    10   6      6.80                6.80                
Pavarde645     Vardas645      3    3    3    7    9    8      6.80                6.00                
Pavarde300     Vardas300      1    5    5    6    8    8      6.80                6.80                
Pavarde809     Vardas809      3    6    6    8    9    7      6.76                6.60                
Pavarde375     Vardas375      3    4    7    8    10   7      6.76                7.00                
Pavarde178     Vardas178      3    6    6    7    10   7      6.76                6.60                
Pavarde624     Vardas624      1    3    3    3    7    9      6.76                6.60                
Pavarde217     Vardas217      1    2    3    4    7    9      6.76                6.60                
Pavarde839     Vardas839      2    5    7    8    10   7      6.76                7.00                
Pavarde44      Vardas44       3    4    5    10   10   7      6.76                6.20                
Pavarde607     Vardas607      1    1    3    5    7    9      6.76                6.60                
Pavarde18      Vardas18       4    4    7    8    9    7      6.76                7.00                
Pavarde627     Vardas627      3    7    9    10   10   6      6.72                7.20                
Pavarde971     Vardas971      3    7    9    10   10   6      6.72                7.20                
Pavarde469     Vardas469      2    2    4    7    9    8      6.72                6.40                
Pavarde622     Vardas622      2    8    9    10   10   6      6.72                7.20                
Pavarde480     Vardas480      2    5    7    7    10   7      6.68                7.00                
Pavarde39      Vardas39       3    4    6    8    10   7      6.68                6.60                
Pavarde206     Vardas206      3    6    7    7    8    7      6.68                7.00                
Pavarde177     Vardas177      6    7    7    8    10   6      6.64                6.40                
Pavarde357     Vardas357      4    7    9    9    9    6      6.64                7.20                
Pavarde222     Vardas222      3    3    3    6    8    8      6.64                6.00                
Pavarde330     Vardas330      2    5    5    8    10   7      6.60                6.20                
Pavarde520     Vardas520      1    2    3    4    5    9      6.60                6.60                
Pavarde918     Vardas918      4    5    5    7    9    7      6.60                6.20                
Pavarde545     Vardas545      2    5    6    7    10   7      6.60                6.60                
Pavarde174     Vardas174      1    2    8    9    10   7      6.60                7.40                
Pavarde256     Vardas256      1    2    4    7    8    8      6.56                6.40                
Pavarde400     Vardas400      1    3    4    4    10   8      6.56                6.40                
Pavarde366     Vardas366      1    2    3    7    9    8      6.56                6.00                
Pavarde806     Vardas806      4    4    5    6    10   7      6.52                6.20                
Pavarde923     Vardas923      2    5    6    6    10   7      6.52                6.60                
Pavarde986     Vardas986      3    5    5    8    8    7      6.52                6.20                
Pavarde209     Vardas209      1    1    3    3    6    9      6.52                6.60                
Pavarde996     Vardas996      1    5    5    9    9    7      6.52                6.20                
Pavarde832     Vardas832      1    2    8    9    9    7      6.52                7.40                
Pavarde944     Vardas944      3    4    6    8    8    7      6.52                6.60                
Pavarde722     Vardas722      3    4    6    8    8    7      6.52                6.60                
Pavarde708     Vardas708      2    5    6    7    9    7      6.52                6.60                
Pavarde252     Vardas252      1    3    7    8    10   7      6.52                7.00                
Pavarde264     Vardas264      1    3    7    8    10   7      6.52                7.00                
Pavarde424     Vardas424      3    4    5    8    9    7      6.52                6.20                
Pavarde796     Vardas796      4    7    7    8    10   6      6.48                6.40                
Pavarde59      Vardas59       1    2    5    6    7    8      6.48                6.80                
Pavarde161     Vardas161      1    2    2    6    10   8      6.48                5.60                
Pavarde737     Vardas737      3    7    7    9    10   6      6.48                6.40                
Pavarde709     Vardas709      3    5    9    9    10   6      6.48                7.20                
Pavarde800     Vardas800      2    2    3    5    9    8      6.48                6.00                
Pavarde14      Vardas14       1    2    3    7    8    8      6.48                6.00                
Pavarde878     Vardas878      2    3    3    4    9    8      6.48                6.00                
Pavarde994     Vardas994      1    2    3    5    10   8      6.48                6.00                
Pavarde592     Vardas592      1    4    5    9    9    7      6.44                6.20                
Pavarde408     Vardas408      3    4    5    7    9    7      6.44                6.20                
Pavarde721     Vardas721      1    2    5    10   10   7      6.44                6.20                
Pavarde451     Vardas451      1    2    2    3    5    9      6.44                6.20                
Pavarde635     Vardas635      1    4    6    8    9    7      6.44                6.60                
Pavarde384     Vardas384      1    3    6    9    9    7      6.44                6.60                
Pavarde284     Vardas284      2    3    5    8    10   7      6.44                6.20                
Pavarde72      Vardas72       2    4    6    6    10   7      6.44                6.60                
Pavarde16      Vardas16       2    3    6    8    9    7      6.44                6.60                
Pavarde844     Vardas844      1    2    7    8    10   7      6.44                7.00                
Pavarde632     Vardas632      2    3    3    4    8    8      6.40                6.00                
Pavarde713     Vardas713      3    5    8    9    10   6      6.40                6.80                
Pavarde573     Vardas573      1    3    4    4    8    8      6.40                6.40                
Pavarde552     Vardas552      1    2    3    7    7    8      6.40                6.00                
Pavarde704     Vardas704      3    5    8    9    10   6      6.40                6.80                
Pavarde599     Vardas599      4    6    7    8    10   6      6.40                6.40                
Pavarde461     Vardas461      3    5    8    9    10   6      6.40                6.80                
Pavarde975     Vardas975      1    4    4    4    7    8      6.40                6.40                
Pavarde120     Vardas120      1    2    2    5    10   8      6.40                5.60                
Pavarde144     Vardas144      1    3    5    8    10   7      6.36                6.20                
Pavarde475     Vardas475      1    1    8    8    9    7      6.36                7.40                
Pavarde507     Vardas507      4    4    5    7    7    7      6.36                6.20                
Pavarde132     Vardas132      1    5    5    6    10   7      6.36                6.20                
Pavarde835     Vardas835      2    7    7    9    9    6      6.32                6.40                
Pavarde471     Vardas471      3    5    7    9    10   6      6.32                6.40                
Pavarde812     Vardas812      1    7    7    9    10   6      6.32                6.40                
Pavarde278     Vardas278      3    5    7    9    10   6      6.32                6.40                
Pavarde254     Vardas254      1    7    8    9    9    6      6.32                6.80                
Pavarde957     Vardas957      1    1    4    5    8    8      6.32                6.40                
Pavarde667     Vardas667      1    3    4    4    7    8      6.32                6.40                
Pavarde845     Vardas845      1    2    3    4    9    8      6.32                6.00                
Pavarde901     Vardas901      1    1    6    8    10   7      6.28                6.60                
Pavarde763     Vardas763      1    4    5    6    10   7      6.28                6.20                
Pavarde727     Vardas727      2    4    5    7    8    7      6.28                6.20                
Pavarde386     Vardas386      3    9    9    10   10   5      6.28                6.60                
Pavarde443     Vardas443      6    8    8    9    10   5      6.28                6.20                
Pavarde495     Vardas495      2    4    7    10   10   6      6.24                6.40                
Pavarde104     Vardas104      3    7    7    8    8    6      6.24                6.40                
Pavarde856     Vardas856      1    1    2    4    10   8      6.24                5.60                
Pavarde692     Vardas692      2    6    8    8    9    6      6.24                6.80                
Pavarde318     Vardas318      1    1    4    6    6    8      6.24                6.40                
Pavarde194     Vardas194      4    6    6    7    10   6      6.24                6.00                
Pavarde345     Vardas345      2    6    8    8    9    6      6.24                6.80                
Pavarde675     Vardas675      2    3    4    6    10   7      6.20                5.80                
Pavarde122     Vardas122      2    3    4    8    8    7      6.20                5.80                
Pavarde464     Vardas464      2    3    6    7    7    7      6.20                6.60                
Pavarde655     Vardas655      1    2    6    7    9    7      6.20                6.60                
Pavarde859     Vardas859      4    5    5    5    6    7      6.20                6.20                
Pavarde877     Vardas877      5    5    6    7    9    6      6.16                6.00                
Pavarde358     Vardas358      2    5    7    8    10   6      6.16                6.40                
Pavarde260     Vardas260      4    6    6    7    9    6      6.16                6.00                
Pavarde946     Vardas946      1    2    2    4    8    8      6.16                5.60                
Pavarde387     Vardas387      3    4    4    6    7    7      6.12                5.80                
Pavarde714     Vardas714      2    2    4    7    9    7      6.12                5.80                
Pavarde449     Vardas449      1    1    6    7    9    7      6.12                6.60                
Pavarde649     Vardas649      3    4    5    5    7    7      6.12                6.20                
Pavarde211     Vardas211      1    3    4    7    9    7      6.12                5.80                
Pavarde862     Vardas862      1    2    5    8    8    7      6.12                6.20                
Pavarde251     Vardas251      2    3    8    8    10   6      6.08                6.80                
Pavarde702     Vardas702      1    6    8    8    8    6      6.08                6.80                
Pavarde158     Vardas158      1    4    7    9    10   6      6.08                6.40                
Pavarde133     Vardas133      1    5    7    8    10   6      6.08                6.40                
Pavarde376     Vardas376      1    2    2    5    6    8      6.08                5.60                
Pavarde198     Vardas198      1    1    2    9    10   7      6.04                5.00                
Pavarde224     Vardas224      1    2    5    7    8    7      6.04                6.20                
Pavarde296     Vardas296      1    2    4    7    9    7      6.04                5.80                
Pavarde188     Vardas188      2    3    4    7    7    7      6.04                5.80                
Pavarde285     Vardas285      2    3    4    6    8    7      6.04                5.80                
Pavarde186     Vardas186      2    3    4    5    9    7      6.04                5.80                
Pavarde283     Vardas283      1    4    6    9    10   6      6.00                6.00                
Pavarde8       Vardas8        3    5    5    7    10   6      6.00                5.60                
Pavarde304     Vardas304      1    4    6    9    10   6      6.00                6.00                
Pavarde707     Vardas707      2    3    6    9    10   6      6.00                6.00                
Pavarde906     Vardas906      1    2    8    9    10   6      6.00                6.80                
Pavarde754     Vardas754      2    3    6    9    10   6      6.00                6.00                
Pavarde371     Vardas371      2    5    6    7    10   6      6.00                6.00                
Pavarde849     Vardas849      1    2    8    9    10   6      6.00                6.80                
Pavarde489     Vardas489      3    7    8    9    10   5      5.96                6.20                
Pavarde790     Vardas790      1    2    3    7    9    7      5.96                5.40                
Pavarde266     Vardas266      5    6    8    9    9    5      5.96                6.20                
Pavarde74      Vardas74       6    6    7    8    10   5      5.96                5.80                
Pavarde756     Vardas756      1    3    4    5    9    7      5.96                5.80                
Pavarde968     Vardas968      4    4    4    5    5    7      5.96                5.80                
Pavarde874     Vardas874      3    3    5    5    6    7      5.96                6.20                
Pavarde17      Vardas17       3    5    5    6    10   6      5.92                5.60                
Pavarde102     Vardas102      3    4    5    8    9    6      5.92                5.60                
Pavarde542     Vardas542      1    4    7    7    10   6      5.92                6.40                
