Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ    Galutinis (Vid.)    Galutinis (Med.)    
Pavarde73      Vardas73       4    10   2    2    2    2      2.80                2.00                
Pavarde74      Vardas74       7    6    6    8    10   5      5.96                5.80                
Pavarde75      Vardas75       8    4    5    9    5    9      7.88                7.40                
Pavarde76      Vardas76       4    8    7    5    4    3      4.04                3.80                
Pavarde77      Vardas77       2    10   3    8    9    5      5.56                6.20                
Pavarde78      Vardas78       2    1    4    9    1    7      5.56                5.00                
Pavarde79      Vardas79       8    4    6    9    4    4      4.88                4.80                
Pavarde80      Vardas80       10   3    6    1    3    2      3.04                2.40                
Pavarde81      Vardas81       10   5    4    7    10   2      4.08                4.00                
Pavarde82      Vardas82       2    1    3    8    8    4      4.16                3.60                
Pavarde83      Vardas83       6    6    8    3    8    4      4.88                4.80                
Pavarde84      Vardas84       5    6    8    3    1    5      4.84                5.00                
Pavarde85      Vardas85       9    2    5    3    10   4      4.72                4.40                
Pavarde86      Vardas86       7    3    10   10   8    3      4.84                5.00                
Pavarde87      Vardas87       4    8    6    4    4    8      6.88                6.40                
Pavarde88      Vardas88       6    2    5    2    2    7      5.56                5.00                
Pavarde89      Vardas89       9    8    6    10   6    9      8.52                8.60                
Pavarde90      Vardas90       10   7    3    9    1    10     8.40                8.80                
Pavarde91      Vardas91       6    3    7    1    4    1      2.28                2.20                
Pavarde92      Vardas92       5    2    8    5    1    10     7.68                8.00                
Pavarde93      Vardas93       5    10   6    7    3    5      5.48                5.40                
Pavarde94      Vardas94       10   8    2    9    5    10     8.72                9.20                
Pavarde95      Vardas95       7    2    6    6    4    3      3.80                4.20                
Pavarde96      Vardas96       7    1    10   5    1    5      4.92                5.00                
Pavarde97      Vardas97       2    4    3    10   9    5      5.24                4.60                
Pavarde98      Vardas98       5    2    3    6    10   5      5.08                5.00                
Pavarde99      Vardas99       3    6    2    2    6    9      6.92                6.60                
Pavarde100     Vardas100      6    5    10   5    10   10     8.88                8.40                
Pavarde101     Vardas101      10   8    1    2    3    6      5.52                4.80                
Pavarde102     Vardas102      8    5    9    3    4    6      5.92                5.60                
Pavarde103     Vardas103      5    5    4    7    9    8      7.20                6.80                
Pavarde104     Vardas104      8    8    7    3    7    6      6.24                6.40                
Pavarde105     Vardas105      8    8    7    10   10   6      7.04                6.80                
Pavarde106     Vardas106      10   8    4    10   3    8      7.60                8.00                
Pavarde107     Vardas107      10   8    1    3    4    6      5.68                5.20                
Pavarde108     Vardas108      6    2    4    9    1    5      4.76                4.60                
Pavarde109     Vardas109      5    8    4    5    4    10     8.08                8.00                
Pavarde110     Vardas110      10   5    2    8    3    4      4.64                4.40                
Pavarde111     Vardas111      3    2    4    7    10   8      6.88                6.40                
Pavarde112     Vardas112      2    1    3    5    1    10     6.96                6.80                
Pavarde113     Vardas113      3    9    8    3    1    6      5.52                4.80                
Pavarde114     Vardas114      8    9    2    1    8    1      2.84                3.80                
Pavarde115     Vardas115      9    5    5    8    6    4      5.04                4.80                
Pavarde116     Vardas116      2    10   4    9    8    2      3.84                4.40                
Pavarde117     Vardas117      9    4    10   8    5    2      4.08                4.40                
Pavarde118     Vardas118      3    8    1    9    7    8      7.04                7.60                
Pavarde119     Vardas119      5    2    6    7    2    4      4.16                4.40                
Pavarde120     Vardas120      5    2    2    1    10   8      6.40                5.60                
Pavarde121     Vardas121      7    10   1    6    1    6      5.60                6.00                
Pavarde122     Vardas122      8    2    8    3    4    7      6.20                5.80                
Pavarde123     Vardas123      5    1    4    6    10   8      6.88                6.80                
Pavarde124     Vardas124      9    4    9    2    1    4      4.40                4.00                
Pavarde125     Vardas125      6    1    5    2    1    4      3.60                3.20                
Pavarde126     Vardas126      1    9    8    7    10   3      4.60                5.00                
Pavarde127     Vardas127      7    9    3    8    8    5      5.80                6.20                
Pavarde128     Vardas128      8    3    7    6    5    9      7.72                7.80                
Pavarde129     Vardas129      3    8    2    8    6    6      5.76                6.00                
Pavarde130     Vardas130      3    6    3    1    6    4      3.92                3.60                
Pavarde131     Vardas131      4    1    3    2    3    2      2.24                2.40                
Pavarde132     Vardas132      5    6    1    5    10   7      6.36                6.20                
Pavarde133     Vardas133      5    7    8    1    10   6      6.08                6.40                
Pavarde134     Vardas134      5    6    7    4    6    2      3.44                3.60                
Pavarde135     Vardas135      6    1    5    4    3    2      2.72                2.80                
Pavarde136     Vardas136      6    8    9    5    4    9      7.96                7.80                
Pavarde137     Vardas137      1    3    5    4    5    6      5.04                5.20                
Pavarde138     Vardas138      1    8    5    5    9    5      5.24                5.00                
Pavarde139     Vardas139      2    5    7    4    10   4      4.64                4.40                
Pavarde140     Vardas140      2    3    9    9    1    9      7.32                6.60                
Pavarde141     Vardas141      7    6    10   9    3    2      4.00                4.00                
Pavarde142     Vardas142      2    1    1    6    10   2      2.80                2.00                
Pavarde143     Vardas143      6    5    8    6    10   5      5.80                5.40                
Pavarde144     Vardas144      1    10   8    3    5    7      6.36                6.20                
Pavarde145     Vardas145      3    6    4    1    8    9      7.16                7.00                
Pavarde146     Vardas146      5    6    10   1    6    4      4.64                4.80                
Pavarde147     Vardas147      1    8    2    10   3    1      2.52                1.80                
Pavarde148     Vardas148      8    7    6    2    7    1      3.00                3.40                
Pavarde149     Vardas149      2    8    8    4    9    2      3.68                4.40                
Pavarde150     Vardas150      1    10   9    6    10   2      4.08                4.80                
Pavarde151     Vardas151      10   7    10   4    2    5      5.64                5.80                
Pavarde152     Vardas152      4    4    10   5    3    4      4.48                4.00                
Pavarde153     Vardas153      8    8    8    10   2    8      7.68                8.00                
Pavarde154     Vardas154      9    2    1    7    9    4      4.64                5.20                
Pavarde155     Vardas155      9    4    7    5    10   9      8.20                8.20                
Pavarde156     Vardas156      7    3    3    8    2    1      2.44                1.80                
Pavarde157     Vardas157      10   8    9    8    9    1      4.12                4.20                
Pavarde158     Vardas158      7    9    1    10   4    6      6.08                6.40                
Pavarde159     Vardas159      1    5    3    10   8    8      6.96                6.80                
Pavarde160     Vardas160      7    6    7    4    6    9      7.80                7.80                
Pavarde161     Vardas161      10   1    2    6    2    8      6.48                5.60                
Pavarde162     Vardas162      5    8    1    5    6    1      2.60                2.60                
Pavarde163     Vardas163      8    1    6    4    4    4      4.24                4.00                
Pavarde164     Vardas164      8    6    3    2    9    10     8.24                8.40                
Pavarde165     Vardas165      2    10   4    3    6    3      3.80                3.40                
Pavarde166     Vardas166      4    8    7    6    3    1      2.84                3.00                
Pavarde167     Vardas167      8    5    2    9    3    4      4.56                4.40                
Pavarde168     Vardas168      3    2    7    4    3    3      3.32                3.00                
Pavarde169     Vardas169      2    4    9    4    3    4      4.16                4.00                
Pavarde170     Vardas170      7    3    6    1    6    2      3.04                3.60                
Pavarde171     Vardas171      4    3    3    5    2    1      1.96                1.80                
Pavarde172     Vardas172      8    6    9    1    1    3      3.80                4.20                
Pavarde173     Vardas173      9    4    6    7    6    2      3.76                3.60                
Pavarde174     Vardas174      8    2    10   9    1    7      6.60                7.40                
Pavarde175     Vardas175      8    6    9    1    2    3      3.88                4.20                
Pavarde176     Vardas176      3    8    1    9    8    1      2.92                3.80                
Pavarde177     Vardas177      7    10   7    6    8    6      6.64                6.40                
Pavarde178     Vardas178      7    6    3    10   6    7      6.76                6.60                
Pavarde179     Vardas179      8    6    7    8    2    3      4.28                4.60                
Pavarde180     Vardas180      9    6    4    3    3    3      3.80                3.40                
Pavarde181     Vardas181      9    6    3    2    6    5      5.08                5.40                
Pavarde182     Vardas182      2    3    10   5    6    1      2.68                2.60                
Pavarde183     Vardas183      6    5    6    3    8    8      7.04                7.20                
Pavarde184     Vardas184      5    8    10   8    10   1      3.88                3.80                
Pavarde185     Vardas185      6    10   3    10   8    3      4.76                5.00                
Pavarde186     Vardas186      2    9    5    4    3    7      6.04                5.80                
Pavarde187     Vardas187      10   9    3    10   10   10     9.36                10.00               
Pavarde188     Vardas188      3    4    7    7    2    7      6.04                5.80                
Pavarde189     Vardas189      1    10   5    4    1    4      4.08                4.00                
Pavarde190     Vardas190      10   4    1    6    5    6      5.68                5.60                
Pavarde191     Vardas191      9    9    5    6    3    3      4.36                4.20                
Pavarde192     Vardas192      2    10   8    7    5    8      7.36                7.60                
Pavarde193     Vardas193      8    7    2    3    6    6      5.68                6.00                
Pavarde194     Vardas194      4    10   6    7    6    6      6.24                6.00                
Pavarde195     Vardas195      3    10   6    10   2    9      7.88                7.80                
Pavarde196     Vardas196      6    10   9    7    8    6      6.80                6.80                
Pavarde197     Vardas197      6    1    4    3    1    1      1.80                1.80                
Pavarde198     Vardas198      1    2    10   1    9    7      6.04                5.00                
Pavarde199     Vardas199      8    3    10   7    10   8      7.84                8.00                
Pavarde200     Vardas200      1    3    2    6    7    6      5.12                4.80                
Pavarde201     Vardas201      4    8    2    1    7    1      2.36                2.20                
Pavarde202     Vardas202      7    10   6    4    5    9      7.96                7.80                
Pavarde203     Vardas203      1    9    9    1    10   1      3.00                4.20                
Pavarde204     Vardas204      6    1    3    2    3    4      3.60                3.60                
Pavarde205     Vardas205      4    1    3    7    3    1      2.04                1.80                
Pavarde206     Vardas206      6    7    7    3    8    7      6.68                7.00                
Pavarde207     Vardas207      7    9    1    7    10   4      5.12                5.20                
Pavarde208     Vardas208      7    1    6    9    7    4      4.80                5.20                
Pavarde209     Vardas209      3    1    1    6    3    9      6.52                6.60                
Pavarde210     Vardas210      3    6    8    3    6    6      5.68                6.00                
Pavarde211     Vardas211      9    3    4    7    1    7      6.12                5.80                
Pavarde212     Vardas212      6    7    6    3    8    10     8.40                8.40                
Pavarde213     Vardas213      4    2    9    10   7    2      3.76                4.00                
Pavarde214     Vardas214      9    6    10   4    7    5      5.88                5.80                
Pavarde215     Vardas215      1    2    8    9    8    6      5.84                6.80                
Pavarde216     Vardas216      2    1    10   9    2    5      4.92                3.80                
Pavarde217     Vardas217      4    7    2    3    1    9      6.76                6.60                
Pavarde218     Vardas218      2    4    5    8    4    5      4.84                4.60                
Pavarde219     Vardas219      5    6    10   10   6    4      5.36                4.80                
Pavarde220     Vardas220      1    6    10   1    5    4      4.24                4.40                
Pavarde221     Vardas221      3    4    5    4    7    2      3.04                2.80                
Pavarde222     Vardas222      3    6    8    3    3    8      6.64                6.00                
Pavarde223     Vardas223      2    5    6    9    10   2      3.76                3.60                
Pavarde224     Vardas224      8    5    2    7    1    7      6.04                6.20                
Pavarde225     Vardas225      2    7    9    8    5    2      3.68                4.00                
Pavarde226     Vardas226      4    6    2    3    6    6      5.28                5.20                
Pavarde227     Vardas227      3    6    8    9    9    5      5.80                6.20                
Pavarde228     Vardas228      3    9    8    7    6    10     8.64                8.80                
Pavarde229     Vardas229      3    6    9    1    1    5      4.60                4.20                
Pavarde230     Vardas230      6    6    6    9    9    9      8.28                7.80                
Pavarde231     Vardas231      2    4    3    10   8    9      7.56                7.00                
Pavarde232     Vardas232      2    8    7    3    9    8      7.12                7.60                
Pavarde233     Vardas233      5    1    6    1    5    9      6.84                7.40                
Pavarde234     Vardas234      3    6    9    10   5    7      6.84                6.60                
Pavarde235     Vardas235      9    10   7    8    6    4      5.60                5.60                
Pavarde236     Vardas236      6    6    8    5    1    5      5.08                5.40                
Pavarde237     Vardas237      10   2    7    9    5    7      6.84                7.00                
Pavarde238     Vardas238      2    7    4    3    3    9      6.92                6.60                
Pavarde239     Vardas239      2    2    3    8    3    2      2.64                2.40                
Pavarde240     Vardas240      9    2    2    6    8    3      3.96                4.20                
Pavarde241     Vardas241      7    10   10   7    2    4      5.28                5.20                
Pavarde242     Vardas242      6    5    6    10   5    8      7.36                7.20                
Pavarde243     Vardas243      1    2    6    6    4    10     7.52                7.60                
Pavarde244     Vardas244      4    3    2    6    8    3      3.64                3.40                
Pavarde245     Vardas245      9    4    2    8    1    3      3.72                3.40                
Pavarde246     Vardas246      8    4    10   10   3    5      5.80                6.20                
Pavarde247     Vardas247      4    4    10   1    6    8      6.80                6.40                
Pavarde248     Vardas248      2    10   10   7    7    1      3.48                3.40                
Pavarde249     Vardas249      8    7    9    10   1    1      3.40                3.80                
Pavarde250     Vardas250      7    4    10   7    1    3      4.12                4.60                
Pavarde251     Vardas251      3    2    8    10   8    6      6.08                6.80                
Pavarde252     Vardas252      8    3    1    7    10   7      6.52                7.00                
Pavarde253     Vardas253      9    4    1    6    1    9      7.08                7.00                
Pavarde254     Vardas254      9    1    7    8    9    6      6.32                6.80                
Pavarde255     Vardas255      8    1    10   10   8    7      7.16                7.40                
Pavarde256     Vardas256      1    8    2    7    4    8      6.56                6.40                
Pavarde257     Vardas257      5    7    9    9    9    9      8.52                9.00                
Pavarde258     Vardas258      10   4    8    9    2    8      7.44                8.00                
Pavarde259     Vardas259      3    2    5    6    4    10     7.60                7.60                
Pavarde260     Vardas260      6    9    6    4    7    6      6.16                6.00                
Pavarde261     Vardas261      8    6    3    10   7    7      6.92                7.00                
Pavarde262     Vardas262      8    1    1    10   8    2      3.44                4.40                
Pavarde263     Vardas263      8    7    7    4    5    4      4.88                5.20                
Pavarde264     Vardas264      7    1    10   3    8    7      6.52                7.00                
Pavarde265     Vardas265      9    1    5    8    5    10     8.24                8.00                
Pavarde266     Vardas266      9    9    5    6    8    5      5.96                6.20                
Pavarde267     Vardas267      4    10   8    2    8    1      3.16                3.80                
Pavarde268     Vardas268      2    4    1    8    5    6      5.20                5.20                
Pavarde269     Vardas269      5    3    1    10   1    10     7.60                7.20                
Pavarde270     Vardas270      8    8    7    1    6    2      3.60                4.00                
Pavarde271     Vardas271      8    3    9    1    1    3      3.56                3.00                
Pavarde272     Vardas272      9    7    6    1    4    6      5.76                6.00                
Pavarde273     Vardas273      8    4    9    4    8    10     8.64                9.20                
Pavarde274     Vardas274      4    9    1    8    6    8      7.04                7.20                
Pavarde275     Vardas275      8    3    6    3    10   10     8.40                8.40                
Pavarde276     Vardas276      3    1    10   2    5    9      7.08                6.60                
Pavarde277     Vardas277      9    7    9    5    2    2      3.76                4.00                
Pavarde278     Vardas278      5    3    9    7    10   6      6.32                6.40                
Pavarde279     Vardas279      3    8    3    1    3    5      4.44                4.20                
Pavarde280     Vardas280      5    4    4    4    7    3      3.72                3.40                
Pavarde281     Vardas281      8    10   3    5    5    5      5.48                5.00                
Pavarde282     Vardas282      1    10   10   10   8    9      8.52                9.40                
Pavarde283     Vardas283      10   9    4    6    1    6      6.00                6.00                
Pavarde284     Vardas284      5    3    10   2    8    7      6.44                6.20                
Pavarde285     Vardas285      6    4    8    3    2    7      6.04                5.80                
Pavarde286     Vardas286      8    7    5    8    6    7      6.92                7.00                
Pavarde287     Vardas287      10   2    9    1    6    6      5.84                6.00                
Pavarde288     Vardas288      4    4    7    5    1    1      2.28                2.20                
Pavarde289     Vardas289      4    4    10   8    2    8      7.04                6.40                
Pavarde290     Vardas290      10   5    9    4    7    2      4.00                4.00                
Pavarde291     Vardas291      10   5    3    7    10   8      7.60                7.60                
Pavarde292     Vardas292      5    6    9    9    3    9      7.96                7.80                
Pavarde293     Vardas293      3    10   7    10   9    2      4.32                4.80                
Pavarde294     Vardas294      6    2    6    1    10   4      4.40                4.80                
Pavarde295     Vardas295      8    10   9    2    2    3      4.28                5.00                
Pavarde296     Vardas296      7    2    9    4    1    7      6.04                5.80                
Pavarde297     Vardas297      5    7    4    4    9    8      7.12                6.80                
Pavarde298     Vardas298      10   5    3    8    10   1      3.48                3.80                
Pavarde299     Vardas299      5    5    10   4    4    3      4.04                3.80                
Pavarde300     Vardas300      5    8    5    6    1    8      6.80                6.80                
Pavarde301     Vardas301      3    5    10   8    1    3      3.96                3.80                
Pavarde302     Vardas302      10   10   2    6    5    2      3.84                3.60                
Pavarde303     Vardas303      1    3    7    6    4    7      5.88                5.80                
Pavarde304     Vardas304      10   4    6    1    9    6      6.00                6.00                
Pavarde305     Vardas305      1    8    3    5    1    6      5.04                4.80                
Pavarde306     Vardas306      7    10   9    6    7    10     9.12                8.80                
Pavarde307     Vardas307      5    1    2    8    2    1      2.04                1.40                
Pavarde308     Vardas308      1    3    1    4    8    5      4.36                4.20                
Pavarde309     Vardas309      2    10   3    2    8    8      6.80                6.00                
Pavarde310     Vardas310      1    4    8    2    7    10     7.76                7.60                
Pavarde311     Vardas311      4    8    1    7    3    6      5.44                5.20                
Pavarde312     Vardas312      8    3    4    8    8    2      3.68                4.40                
Pavarde313     Vardas313      2    10   6    8    10   9      8.28                8.60                
Pavarde314     Vardas314      5    1    3    5    7    9      7.08                7.40                
Pavarde315     Vardas315      10   2    9    10   3    3      4.52                5.40                
Pavarde316     Vardas316      8    3    1    6    9    2      3.36                3.60                
Pavarde317     Vardas317      4    7    1    4    8    10     7.92                7.60                
Pavarde318     Vardas318      4    1    6    1    6    8      6.24                6.40                
Pavarde319     Vardas319      10   1    2    6    7    6      5.68                6.00                
Pavarde320     Vardas320      4    5    1    7    7    3      3.72                3.80                
Pavarde321     Vardas321      4    7    9    9    7    7      7.08                7.00                
Pavarde322     Vardas322      10   4    1    7    5    4      4.56                4.40                
Pavarde323     Vardas323      4    5    8    4    3    4      4.32                4.00                
Pavarde324     Vardas324      4    1    6    6    2    1      2.12                2.20                
Pavarde325     Vardas325      8    8    5    5    3    3      4.12                3.80                
Pavarde326     Vardas326      6    3    4    10   9    9      7.96                7.80                
Pavarde327     Vardas327      10   9    2    5    2    2      3.44                3.20                
Pavarde328     Vardas328      2    2    5    5    7    10     7.68                8.00                
Pavarde329     Vardas329      6    4    6    5    5    1      2.68                2.60                
Pavarde330     Vardas330      10   5    2    5    8    7      6.60                6.20                
Pavarde331     Vardas331      5    6    10   5    8    10     8.72                8.40                
Pavarde332     Vardas332      5    2    3    4    9    2      3.04                2.80                
Pavarde333     Vardas333      3    8    6    3    3    2      3.04                2.40                
Pavarde334     Vardas334      3    4    9    6    4    9      7.48                7.00                
Pavarde335     Vardas335      1    1    4    3    3    4      3.36                3.60                
Pavarde336     Vardas336      7    2    4    10   5    9      7.64                7.40                
Pavarde337     Vardas337      4    7    8    7    9    8      7.60                7.60                
Pavarde338     Vardas338      8    3    1    8    4    4      4.32                4.00                
Pavarde339     Vardas339      3    8    2    5    8    6      5.68                5.60                
Pavarde340     Vardas340      7    7    3    4    6    6      5.76                6.00                
Pavarde341     Vardas341      7    7    1    7    4    2      3.28                4.00                
Pavarde342     Vardas342      2    7    3    10   7    3      4.12                4.60                
Pavarde343     Vardas343      10   3    9    3    3    4      4.64                3.60                
Pavarde344     Vardas344      3    3    10   2    3    7      5.88                5.40                
Pavarde345     Vardas345      8    9    8    6    2    6      6.24                6.80                
Pavarde346     Vardas346      2    10   5    3    1    1      2.28                1.80                
Pavarde347     Vardas347      6    2    7    7    8    1      3.00                3.40                
Pavarde348     Vardas348      1    7    1    7    3    10     7.52                7.20                
Pavarde349     Vardas349      9    5    6    3    8    8      7.28                7.20                
Pavarde350     Vardas350      8    3    8    3    5    9      7.56                7.40                
Pavarde351     Vardas351      4    8    8    8    6    4      5.12                5.60                
Pavarde352     Vardas352      5    9    3    10   4    9      7.88                7.40                
Pavarde353     Vardas353      6    6    2    7    9    8      7.20                7.20                
Pavarde354     Vardas354      2    9    2    8    2    9      7.24                6.20                
Pavarde355     Vardas355      3    4    4    6    3    2      2.80                2.80                
Pavarde356     Vardas356      4    1    2    7    1    2      2.40                2.00                
Pavarde357     Vardas357      7    4    9    9    9    6      6.64                7.20                
Pavarde358     Vardas358      8    10   5    7    2    6      6.16                6.40                
Pavarde359     Vardas359      6    5    4    1    1    2      2.56                2.80                
Pavarde360     Vardas360      4    10   10   2    1    1      2.76                2.20                
Pavarde361     Vardas361      8    8    1    3    3    3      3.64                3.00                
Pavarde362     Vardas362      4    1    4    9    4    2      2.96                2.80                
Pavarde363     Vardas363      2    4    5    7    5    4      4.24                4.40                
Pavarde364     Vardas364      9    1    7    10   6    2      3.84                4.00                
Pavarde365     Vardas365      10   6    5    1    2    2      3.12                3.20                
Pavarde366     Vardas366      1    7    9    3    2    8      6.56                6.00                
Pavarde367     Vardas367      1    7    7    5    9    3      4.12                4.60                
Pavarde368     Vardas368      10   6    5    8    9    7      7.24                7.40                
Pavarde369     Vardas369      5    4    4    5    7    4      4.40                4.40                
Pavarde370     Vardas370      6    1    6    8    4    3      3.80                4.20                
Pavarde371     Vardas371      2    6    5    7    10   6      6.00                6.00                
Pavarde372     Vardas372      5    5    8    5    8    5      5.48                5.00                
Pavarde373     Vardas373      1    9    7    2    9    8      7.04                7.60                
Pavarde374     Vardas374      7    6    10   6    2    9      7.88                7.80                
Pavarde375     Vardas375      4    3    7    10   8    7      6.76                7.00                
Pavarde376     Vardas376      6    5    2    2    1    8      6.08                5.60                
Pavarde377     Vardas377      4    5    10   6    9    3      4.52                4.20                
Pavarde378     Vardas378      10   2    1    3    5    4      4.08                3.60                
Pavarde379     Vardas379      3    6    3    3    9    4      4.32                3.60                
Pavarde380     Vardas380      1    6    4    2    9    2      2.96                2.80                
Pavarde381     Vardas381      6    3    3    6    6    5      4.92                5.40                
Pavarde382     Vardas382      5    7    6    3    4    8      6.80                6.80                
Pavarde383     Vardas383      7    3    3    5    3    6      5.28                4.80                
Pavarde384     Vardas384      1    9    3    9    6    7      6.44                6.60                
Pavarde385     Vardas385      8    1    5    7    8    9      7.72                8.20                
Pavarde386     Vardas386      10   3    10   9    9    5      6.28                6.60                
Pavarde387     Vardas387      4    3    4    7    6    7      6.12                5.80                
Pavarde388     Vardas388      2    10   5    3    7    5      5.16                5.00                
Pavarde389     Vardas389      4    5    2    10   5    9      7.48                7.40                
Pavarde390     Vardas390      1    5    2    9    2    1      2.12                1.40                
Pavarde391     Vardas391      7    5    9    10   3    7      6.92                7.00                
Pavarde392     Vardas392      6    8    5    1    1    2      2.88                3.20                
Pavarde393     Vardas393      9    9    5    9    10   9      8.76                9.00                
Pavarde394     Vardas394      7    6    1    2    4    6      5.20                5.20                
Pavarde395     Vardas395      1    7    7    2    9    6      5.68                6.40                
Pavarde396     Vardas396      4    7    10   6    2    4      4.72                4.80                
Pavarde397     Vardas397      10   6    9    4    5    8      7.52                7.20                
Pavarde398     Vardas398      2    7    8    9    3    10     8.32                8.80                
Pavarde399     Vardas399      2    9    3    7    8    3      4.12                4.60                
Pavarde400     Vardas400      3    4    1    4    10   8      6.56                6.40                
Pavarde401     Vardas401      2    10   10   5    1    5      5.24                5.00                
Pavarde402     Vardas402      9    8    2    8    2    4      4.72                5.60                
Pavarde403     Vardas403      8    10   5    7    1    3      4.28                4.60                
Pavarde404     Vardas404      2    6    1    6    2    5      4.36                3.80                
Pavarde405     Vardas405      2    6    5    4    3    4      4.00                4.00                
Pavarde406     Vardas406      9    2    2    1    5    2      2.72                2.00                
Pavarde407     Vardas407      6    8    9    1    6    8      7.20                7.20                
