Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ    Galutinis (Vid.)    Galutinis (Med.)    
Pavarde3578    Vardas3578     1    1    2    5    8    6      4.96                4.40                
Pavarde4145    Vardas4145     1    2    2    4    8    6      4.96                4.40                
Pavarde4194    Vardas4194     1    3    3    4    6    6      4.96                4.80                
Pavarde4011    Vardas4011     1    2    3    4    7    6      4.96                4.80                
Pavarde356     Vardas356      1    2    3    4    7    6      4.96                4.80                
Pavarde5655    Vardas5655     1    1    2    5    8    6      4.96                4.40                
Pavarde419     Vardas419      1    2    3    5    6    6      4.96                4.80                
Pavarde3720    Vardas3720     2    3    3    4    5    6      4.96                4.80                
Pavarde2797    Vardas2797     1    1    2    4    9    6      4.96                4.40                
Pavarde8926    Vardas8926     1    1    2    4    9    6      4.96                4.40                
Pavarde8918    Vardas8918     1    1    2    4    9    6      4.96                4.40                
Pavarde8523    Vardas8523     2    7    10   10   10   3      4.92                5.80                
Pavarde1810    Vardas1810     6    7    7    9    10   3      4.92                4.60                
Pavarde3460    Vardas3460     3    8    8    10   10   3      4.92                5.00                
Pavarde1267    Vardas1267     3    8    9    9    10   3      4.92                5.40                
Pavarde3057    Vardas3057     4    8    8    9    10   3      4.92                5.00                
Pavarde9862    Vardas9862     1    9    9    10   10   3      4.92                5.40                
Pavarde1605    Vardas1605     5    8    8    9    9    3      4.92                5.00                
Pavarde600     Vardas600      2    8    9    10   10   3      4.92                5.40                
Pavarde3297    Vardas3297     5    7    8    9    10   3      4.92                5.00                
Pavarde2712    Vardas2712     5    6    9    9    10   3      4.92                5.40                
Pavarde8799    Vardas8799     3    7    9    10   10   3      4.92                5.40                
Pavarde3937    Vardas3937     6    7    8    9    9    3      4.92                5.00                
Pavarde5870    Vardas5870     1    4    5    7    7    5      4.92                5.00                
Pavarde1531    Vardas1531     1    4    5    6    8    5      4.92                5.00                
Pavarde668     Vardas668      1    1    1    1    5    7      4.92                4.60                
Pavarde3675    Vardas3675     2    4    6    6    6    5      4.92                5.40                
Pavarde6208    Vardas6208     1    3    5    6    9    5      4.92                5.00                
Pavarde3679    Vardas3679     1    3    5    7    8    5      4.92                5.00                
Pavarde315     Vardas315      1    4    5    6    8    5      4.92                5.00                
Pavarde6062    Vardas6062     2    2    3    8    9    5      4.92                4.20                
Pavarde7128    Vardas7128     3    3    3    6    9    5      4.92                4.20                
Pavarde7410    Vardas7410     3    5    5    5    6    5      4.92                5.00                
Pavarde3691    Vardas3691     1    4    4    5    10   5      4.92                4.60                
Pavarde9625    Vardas9625     2    3    6    6    7    5      4.92                5.40                
Pavarde7518    Vardas7518     1    1    2    10   10   5      4.92                3.80                
Pavarde196     Vardas196      1    3    4    8    8    5      4.92                4.60                
Pavarde3698    Vardas3698     1    1    5    8    9    5      4.92                5.00                
Pavarde7977    Vardas7977     3    3    5    5    8    5      4.92                5.00                
Pavarde6503    Vardas6503     1    3    4    8    8    5      4.92                4.60                
Pavarde8922    Vardas8922     1    1    4    8    10   5      4.92                4.60                
Pavarde9448    Vardas9448     1    3    6    6    8    5      4.92                5.40                
Pavarde4695    Vardas4695     1    1    4    9    9    5      4.92                4.60                
Pavarde2574    Vardas2574     2    2    3    7    10   5      4.92                4.20                
Pavarde3602    Vardas3602     2    3    4    7    8    5      4.92                4.60                
Pavarde4925    Vardas4925     1    3    4    6    10   5      4.92                4.60                
Pavarde3934    Vardas3934     2    3    6    6    7    5      4.92                5.40                
Pavarde26      Vardas26       1    2    2    9    10   5      4.92                3.80                
Pavarde1454    Vardas1454     1    3    5    6    9    5      4.92                5.00                
Pavarde8030    Vardas8030     2    4    5    6    7    5      4.92                5.00                
Pavarde8356    Vardas8356     2    2    6    6    8    5      4.92                5.40                
Pavarde709     Vardas709      2    3    4    7    8    5      4.92                4.60                
Pavarde5002    Vardas5002     1    3    4    6    10   5      4.92                4.60                
Pavarde3195    Vardas3195     1    2    6    6    9    5      4.92                5.40                
Pavarde8809    Vardas8809     2    3    4    6    9    5      4.92                4.60                
Pavarde619     Vardas619      2    3    4    6    9    5      4.92                4.60                
Pavarde3966    Vardas3966     3    3    6    6    6    5      4.92                5.40                
Pavarde9909    Vardas9909     1    1    5    7    10   5      4.92                5.00                
Pavarde6673    Vardas6673     2    3    3    8    8    5      4.92                4.20                
Pavarde2884    Vardas2884     2    4    5    6    7    5      4.92                5.00                
Pavarde12      Vardas12       4    4    4    5    7    5      4.92                4.60                
Pavarde6203    Vardas6203     2    4    5    6    7    5      4.92                5.00                
Pavarde7399    Vardas7399     1    1    5    7    10   5      4.92                5.00                
Pavarde2344    Vardas2344     2    3    3    6    10   5      4.92                4.20                
Pavarde9845    Vardas9845     1    4    5    6    8    5      4.92                5.00                
Pavarde3733    Vardas3733     1    3    4    7    9    5      4.92                4.60                
Pavarde5899    Vardas5899     3    4    4    5    8    5      4.92                4.60                
Pavarde3175    Vardas3175     2    3    4    6    9    5      4.92                4.60                
Pavarde5239    Vardas5239     2    4    4    6    8    5      4.92                4.60                
Pavarde5754    Vardas5754     1    4    5    7    7    5      4.92                5.00                
Pavarde9124    Vardas9124     2    3    3    7    9    5      4.92                4.20                
Pavarde5584    Vardas5584     1    3    3    7    10   5      4.92                4.20                
Pavarde9906    Vardas9906     1    2    3    9    9    5      4.92                4.20                
Pavarde6200    Vardas6200     1    4    7    9    10   4      4.88                5.20                
Pavarde1135    Vardas1135     2    4    8    8    9    4      4.88                5.60                
Pavarde1155    Vardas1155     3    3    6    9    10   4      4.88                4.80                
Pavarde2625    Vardas2625     1    3    4    4    4    6      4.88                5.20                
Pavarde9526    Vardas9526     1    1    9    10   10   4      4.88                6.00                
Pavarde849     Vardas849      5    5    5    8    8    4      4.88                4.40                
Pavarde235     Vardas235      1    3    3    4    5    6      4.88                4.80                
Pavarde4938    Vardas4938     3    4    7    8    9    4      4.88                5.20                
Pavarde586     Vardas586      3    4    5    9    10   4      4.88                4.40                
Pavarde2386    Vardas2386     3    4    8    8    8    4      4.88                5.60                
Pavarde6838    Vardas6838     1    6    6    8    10   4      4.88                4.80                
Pavarde94      Vardas94       1    3    3    4    5    6      4.88                4.80                
Pavarde8207    Vardas8207     4    6    6    7    8    4      4.88                4.80                
Pavarde6254    Vardas6254     3    6    6    7    9    4      4.88                4.80                
Pavarde263     Vardas263      1    5    6    9    10   4      4.88                4.80                
Pavarde5283    Vardas5283     2    2    8    9    10   4      4.88                5.60                
Pavarde3306    Vardas3306     1    1    2    5    7    6      4.88                4.40                
Pavarde5559    Vardas5559     1    2    9    9    10   4      4.88                6.00                
Pavarde2760    Vardas2760     1    1    2    4    8    6      4.88                4.40                
Pavarde232     Vardas232      1    2    3    5    5    6      4.88                4.80                
Pavarde2651    Vardas2651     3    3    6    9    10   4      4.88                4.80                
Pavarde9578    Vardas9578     1    6    7    8    9    4      4.88                5.20                
Pavarde7350    Vardas7350     2    5    7    7    10   4      4.88                5.20                
Pavarde7356    Vardas7356     2    5    7    8    9    4      4.88                5.20                
Pavarde1430    Vardas1430     2    5    7    7    10   4      4.88                5.20                
Pavarde9939    Vardas9939     4    5    6    6    10   4      4.88                4.80                
Pavarde2559    Vardas2559     2    6    6    8    9    4      4.88                4.80                
Pavarde2647    Vardas2647     1    5    7    9    9    4      4.88                5.20                
Pavarde6756    Vardas6756     1    1    2    6    6    6      4.88                4.40                
Pavarde9963    Vardas9963     3    4    6    9    9    4      4.88                4.80                
Pavarde766     Vardas766      1    4    7    9    10   4      4.88                5.20                
Pavarde7192    Vardas7192     2    5    6    9    9    4      4.88                4.80                
Pavarde1051    Vardas1051     4    5    6    7    9    4      4.88                4.80                
Pavarde4531    Vardas4531     4    5    6    7    9    4      4.88                4.80                
Pavarde9464    Vardas9464     2    6    7    8    8    4      4.88                5.20                
Pavarde7667    Vardas7667     1    3    8    9    10   4      4.88                5.60                
Pavarde81      Vardas81       3    6    6    7    9    4      4.88                4.80                
Pavarde3040    Vardas3040     2    5    7    8    9    4      4.88                5.20                
Pavarde1375    Vardas1375     4    5    6    7    9    4      4.88                4.80                
Pavarde3529    Vardas3529     1    2    3    4    6    6      4.88                4.80                
Pavarde8660    Vardas8660     3    5    7    7    9    4      4.88                5.20                
Pavarde169     Vardas169      3    4    7    8    9    4      4.88                5.20                
Pavarde6147    Vardas6147     1    4    8    9    9    4      4.88                5.60                
Pavarde1214    Vardas1214     3    4    6    8    10   4      4.88                4.80                
Pavarde3846    Vardas3846     2    5    5    9    10   4      4.88                4.40                
Pavarde349     Vardas349      4    4    6    7    10   4      4.88                4.80                
Pavarde6509    Vardas6509     1    5    6    9    10   4      4.88                4.80                
Pavarde46      Vardas46       1    5    7    8    10   4      4.88                5.20                
Pavarde1227    Vardas1227     3    5    7    7    9    4      4.88                5.20                
Pavarde4841    Vardas4841     4    4    5    9    9    4      4.88                4.40                
Pavarde5704    Vardas5704     2    2    2    3    7    6      4.88                4.40                
Pavarde6683    Vardas6683     2    6    6    7    10   4      4.88                4.80                
Pavarde5701    Vardas5701     2    7    7    7    8    4      4.88                5.20                
Pavarde154     Vardas154      3    5    5    8    10   4      4.88                4.40                
Pavarde2303    Vardas2303     1    2    2    3    8    6      4.88                4.40                
Pavarde2987    Vardas2987     5    5    6    7    8    4      4.88                4.80                
Pavarde514     Vardas514      3    5    6    8    9    4      4.88                4.80                
Pavarde614     Vardas614      3    3    5    10   10   4      4.88                4.40                
Pavarde5376    Vardas5376     5    5    6    7    8    4      4.88                4.80                
Pavarde5134    Vardas5134     2    2    2    3    7    6      4.88                4.40                
Pavarde7017    Vardas7017     2    2    9    9    9    4      4.88                6.00                
Pavarde9781    Vardas9781     2    5    7    8    9    4      4.88                5.20                
Pavarde706     Vardas706      2    3    7    9    10   4      4.88                5.20                
Pavarde5935    Vardas5935     1    1    4    4    6    6      4.88                5.20                
Pavarde8792    Vardas8792     4    5    5    8    9    4      4.88                4.40                
Pavarde2063    Vardas2063     1    4    7    9    10   4      4.88                5.20                
Pavarde401     Vardas401      2    3    7    9    10   4      4.88                5.20                
Pavarde5372    Vardas5372     2    3    7    9    10   4      4.88                5.20                
Pavarde9601    Vardas9601     3    4    6    8    10   4      4.88                4.80                
Pavarde5953    Vardas5953     8    9    9    10   10   2      4.88                4.80                
Pavarde998     Vardas998      3    7    8    10   10   3      4.84                5.00                
Pavarde4269    Vardas4269     5    6    7    10   10   3      4.84                4.60                
Pavarde5214    Vardas5214     5    7    8    8    10   3      4.84                5.00                
Pavarde4708    Vardas4708     4    7    8    9    10   3      4.84                5.00                
Pavarde2141    Vardas2141     2    7    9    10   10   3      4.84                5.40                
Pavarde1979    Vardas1979     3    6    9    10   10   3      4.84                5.40                
Pavarde5936    Vardas5936     3    7    9    9    10   3      4.84                5.40                
Pavarde2614    Vardas2614     3    7    8    10   10   3      4.84                5.00                
Pavarde6790    Vardas6790     6    7    8    8    9    3      4.84                5.00                
Pavarde7425    Vardas7425     4    6    9    9    10   3      4.84                5.40                
Pavarde7918    Vardas7918     4    5    9    10   10   3      4.84                5.40                
Pavarde2132    Vardas2132     2    7    9    10   10   3      4.84                5.40                
Pavarde1233    Vardas1233     5    6    8    9    10   3      4.84                5.00                
Pavarde3659    Vardas3659     6    6    7    9    10   3      4.84                4.60                
Pavarde9535    Vardas9535     6    6    8    8    10   3      4.84                5.00                
Pavarde2398    Vardas2398     5    8    8    8    9    3      4.84                5.00                
Pavarde8535    Vardas8535     5    6    7    10   10   3      4.84                4.60                
Pavarde5714    Vardas5714     5    6    7    10   10   3      4.84                4.60                
Pavarde8558    Vardas8558     6    7    8    8    9    3      4.84                5.00                
Pavarde9319    Vardas9319     2    8    9    9    10   3      4.84                5.40                
Pavarde6178    Vardas6178     1    3    5    7    7    5      4.84                5.00                
Pavarde854     Vardas854      1    2    4    7    9    5      4.84                4.60                
Pavarde1693    Vardas1693     1    3    4    7    8    5      4.84                4.60                
Pavarde9259    Vardas9259     4    4    4    5    6    5      4.84                4.60                
Pavarde2693    Vardas2693     2    2    3    8    8    5      4.84                4.20                
Pavarde425     Vardas425      2    2    4    7    8    5      4.84                4.60                
Pavarde5260    Vardas5260     1    3    4    5    10   5      4.84                4.60                
Pavarde1942    Vardas1942     3    3    4    6    7    5      4.84                4.60                
Pavarde1293    Vardas1293     2    2    4    7    8    5      4.84                4.60                
Pavarde1059    Vardas1059     2    3    4    5    9    5      4.84                4.60                
Pavarde9809    Vardas9809     1    3    4    7    8    5      4.84                4.60                
Pavarde8027    Vardas8027     1    4    5    6    7    5      4.84                5.00                
Pavarde8561    Vardas8561     1    3    3    7    9    5      4.84                4.20                
Pavarde7288    Vardas7288     1    1    4    8    9    5      4.84                4.60                
Pavarde5835    Vardas5835     1    3    4    5    10   5      4.84                4.60                
Pavarde8969    Vardas8969     2    3    3    7    8    5      4.84                4.20                
Pavarde5178    Vardas5178     1    3    4    6    9    5      4.84                4.60                
Pavarde5364    Vardas5364     3    3    4    6    7    5      4.84                4.60                
Pavarde9063    Vardas9063     1    3    4    5    10   5      4.84                4.60                
Pavarde1920    Vardas1920     1    2    5    6    9    5      4.84                5.00                
Pavarde2583    Vardas2583     1    3    4    7    8    5      4.84                4.60                
Pavarde7797    Vardas7797     2    4    5    6    6    5      4.84                5.00                
Pavarde7719    Vardas7719     1    3    4    6    9    5      4.84                4.60                
Pavarde4404    Vardas4404     4    4    4    4    7    5      4.84                4.60                
Pavarde3656    Vardas3656     2    3    4    6    8    5      4.84                4.60                
Pavarde2279    Vardas2279     1    3    5    7    7    5      4.84                5.00                
Pavarde6523    Vardas6523     1    3    5    6    8    5      4.84                5.00                
Pavarde1393    Vardas1393     1    1    4    8    9    5      4.84                4.60                
Pavarde5875    Vardas5875     2    3    5    6    7    5      4.84                5.00                
Pavarde1736    Vardas1736     1    4    6    6    6    5      4.84                5.40                
Pavarde2722    Vardas2722     3    4    4    6    6    5      4.84                4.60                
Pavarde610     Vardas610      2    3    3    6    9    5      4.84                4.20                
Pavarde6304    Vardas6304     1    3    4    7    8    5      4.84                4.60                
Pavarde4683    Vardas4683     1    2    4    6    10   5      4.84                4.60                
Pavarde6505    Vardas6505     2    2    4    5    10   5      4.84                4.60                
Pavarde6930    Vardas6930     1    1    5    7    9    5      4.84                5.00                
Pavarde5737    Vardas5737     2    4    4    5    8    5      4.84                4.60                
Pavarde7486    Vardas7486     2    4    5    5    7    5      4.84                5.00                
Pavarde1603    Vardas1603     1    1    4    8    9    5      4.84                4.60                
Pavarde3707    Vardas3707     2    2    4    7    8    5      4.84                4.60                
Pavarde9209    Vardas9209     2    4    4    5    8    5      4.84                4.60                
Pavarde4182    Vardas4182     1    2    6    6    8    5      4.84                5.40                
Pavarde7978    Vardas7978     1    3    4    6    9    5      4.84                4.60                
Pavarde8852    Vardas8852     1    4    5    6    7    5      4.84                5.00                
Pavarde4416    Vardas4416     1    1    6    7    8    5      4.84                5.40                
Pavarde6597    Vardas6597     2    3    5    6    7    5      4.84                5.00                
Pavarde4939    Vardas4939     1    4    5    6    7    5      4.84                5.00                
Pavarde7842    Vardas7842     2    2    4    7    8    5      4.84                4.60                
Pavarde6023    Vardas6023     3    3    5    6    6    5      4.84                5.00                
Pavarde1720    Vardas1720     2    3    7    8    10   4      4.80                5.20                
Pavarde5222    Vardas5222     1    5    7    7    10   4      4.80                5.20                
Pavarde4230    Vardas4230     2    3    7    8    10   4      4.80                5.20                
Pavarde1471    Vardas1471     3    3    6    8    10   4      4.80                4.80                
Pavarde4096    Vardas4096     4    5    6    7    8    4      4.80                4.80                
Pavarde6424    Vardas6424     3    3    6    8    10   4      4.80                4.80                
Pavarde6584    Vardas6584     4    4    7    7    8    4      4.80                5.20                
Pavarde1060    Vardas1060     1    4    7    8    10   4      4.80                5.20                
Pavarde504     Vardas504      3    5    6    7    9    4      4.80                4.80                
Pavarde6986    Vardas6986     1    1    1    5    7    6      4.80                4.00                
Pavarde7826    Vardas7826     5    5    5    7    8    4      4.80                4.40                
Pavarde4845    Vardas4845     4    5    6    6    9    4      4.80                4.80                
Pavarde3539    Vardas3539     3    5    6    6    10   4      4.80                4.80                
Pavarde6558    Vardas6558     1    1    2    4    7    6      4.80                4.40                
Pavarde7696    Vardas7696     1    2    3    3    6    6      4.80                4.80                
Pavarde3229    Vardas3229     4    6    6    7    7    4      4.80                4.80                
Pavarde9761    Vardas9761     3    3    7    7    10   4      4.80                5.20                
Pavarde7342    Vardas7342     2    4    7    7    10   4      4.80                5.20                
Pavarde7156    Vardas7156     3    4    6    8    9    4      4.80                4.80                
Pavarde851     Vardas851      2    4    5    9    10   4      4.80                4.40                
Pavarde3780    Vardas3780     2    3    7    9    9    4      4.80                5.20                
Pavarde3765    Vardas3765     1    2    8    9    10   4      4.80                5.60                
Pavarde6873    Vardas6873     4    5    5    7    9    4      4.80                4.40                
Pavarde7119    Vardas7119     1    4    6    9    10   4      4.80                4.80                
Pavarde1901    Vardas1901     1    2    8    9    10   4      4.80                5.60                
Pavarde31      Vardas31       2    3    8    8    9    4      4.80                5.60                
Pavarde4865    Vardas4865     4    5    5    6    10   4      4.80                4.40                
Pavarde1140    Vardas1140     3    3    7    8    9    4      4.80                5.20                
Pavarde548     Vardas548      4    5    5    7    9    4      4.80                4.40                
Pavarde3697    Vardas3697     2    3    3    3    4    6      4.80                4.80                
Pavarde6722    Vardas6722     1    2    3    4    5    6      4.80                4.80                
Pavarde5191    Vardas5191     2    3    6    9    10   4      4.80                4.80                
Pavarde7499    Vardas7499     2    5    6    8    9    4      4.80                4.80                
Pavarde1088    Vardas1088     3    5    6    6    10   4      4.80                4.80                
Pavarde7951    Vardas7951     1    5    7    8    9    4      4.80                5.20                
Pavarde4081    Vardas4081     2    2    3    4    4    6      4.80                4.80                
Pavarde2468    Vardas2468     2    6    6    7    9    4      4.80                4.80                
Pavarde5436    Vardas5436     1    1    2    5    6    6      4.80                4.40                
Pavarde8794    Vardas8794     2    5    6    7    10   4      4.80                4.80                
Pavarde8496    Vardas8496     3    4    6    8    9    4      4.80                4.80                
Pavarde5571    Vardas5571     2    2    8    8    10   4      4.80                5.60                
Pavarde2653    Vardas2653     2    5    6    8    9    4      4.80                4.80                
Pavarde5425    Vardas5425     2    5    5    8    10   4      4.80                4.40                
Pavarde216     Vardas216      2    3    8    8    9    4      4.80                5.60                
Pavarde4716    Vardas4716     1    5    5    9    10   4      4.80                4.40                
Pavarde5515    Vardas5515     7    8    10   10   10   2      4.80                5.20                
Pavarde2240    Vardas2240     1    6    6    7    10   4      4.80                4.80                
Pavarde8592    Vardas8592     2    5    5    9    9    4      4.80                4.40                
Pavarde8973    Vardas8973     2    4    7    8    9    4      4.80                5.20                
Pavarde1295    Vardas1295     4    4    6    6    10   4      4.80                4.80                
Pavarde2074    Vardas2074     1    5    6    8    10   4      4.80                4.80                
Pavarde282     Vardas282      1    1    2    4    7    6      4.80                4.40                
Pavarde4413    Vardas4413     3    5    5    7    10   4      4.80                4.40                
Pavarde5267    Vardas5267     4    5    6    6    9    4      4.80                4.80                
Pavarde8371    Vardas8371     1    5    7    8    9    4      4.80                5.20                
Pavarde5644    Vardas5644     1    1    2    2    9    6      4.80                4.40                
Pavarde5323    Vardas5323     2    5    7    8    8    4      4.80                5.20                
Pavarde2593    Vardas2593     1    1    3    5    5    6      4.80                4.80                
Pavarde2745    Vardas2745     1    1    2    5    6    6      4.80                4.40                
Pavarde366     Vardas366      1    3    6    10   10   4      4.80                4.80                
Pavarde2532    Vardas2532     2    4    6    8    10   4      4.80                4.80                
Pavarde5649    Vardas5649     5    6    8    9    9    3      4.76                5.00                
Pavarde4478    Vardas4478     5    7    7    9    9    3      4.76                4.60                
Pavarde2814    Vardas2814     4    5    8    10   10   3      4.76                5.00                
Pavarde2490    Vardas2490     4    5    8    10   10   3      4.76                5.00                
Pavarde4571    Vardas4571     4    5    9    9    10   3      4.76                5.40                
Pavarde9925    Vardas9925     4    5    9    9    10   3      4.76                5.40                
Pavarde3571    Vardas3571     3    5    9    10   10   3      4.76                5.40                
Pavarde7430    Vardas7430     5    7    8    8    9    3      4.76                5.00                
Pavarde1177    Vardas1177     5    5    8    9    10   3      4.76                5.00                
Pavarde3139    Vardas3139     5    6    8    9    9    3      4.76                5.00                
Pavarde5370    Vardas5370     2    7    8    10   10   3      4.76                5.00                
Pavarde5853    Vardas5853     5    5    7    10   10   3      4.76                4.60                
Pavarde5328    Vardas5328     2    6    9    10   10   3      4.76                5.40                
Pavarde9790    Vardas9790     5    5    8    9    10   3      4.76                5.00                
Pavarde7012    Vardas7012     3    8    8    9    9    3      4.76                5.00                
Pavarde862     Vardas862      5    6    7    9    10   3      4.76                4.60                
Pavarde6003    Vardas6003     6    7    7    7    10   3      4.76                4.60                
Pavarde64      Vardas64       3    4    10   10   10   3      4.76                5.80                
Pavarde5636    Vardas5636     2    8    8    9    10   3      4.76                5.00                
Pavarde7705    Vardas7705     6    7    8    8    8    3      4.76                5.00                
Pavarde6380    Vardas6380     3    5    9    10   10   3      4.76                5.40                
Pavarde5006    Vardas5006     1    3    4    4    10   5      4.76                4.60                
Pavarde2035    Vardas2035     1    3    3    7    8    5      4.76                4.20                
Pavarde4894    Vardas4894     1    2    4    7    8    5      4.76                4.60                
Pavarde3001    Vardas3001     2    3    4    6    7    5      4.76                4.60                
Pavarde5474    Vardas5474     2    2    5    6    7    5      4.76                5.00                
Pavarde7418    Vardas7418     1    2    4    7    8    5      4.76                4.60                
Pavarde2105    Vardas2105     1    2    3    7    9    5      4.76                4.20                
Pavarde7442    Vardas7442     3    3    4    6    6    5      4.76                4.60                
Pavarde1689    Vardas1689     2    4    5    5    6    5      4.76                5.00                
Pavarde4945    Vardas4945     1    2    2    7    10   5      4.76                3.80                
Pavarde7179    Vardas7179     2    3    3    6    8    5      4.76                4.20                
Pavarde2961    Vardas2961     1    3    4    7    7    5      4.76                4.60                
Pavarde5988    Vardas5988     1    3    6    6    6    5      4.76                5.40                
Pavarde4996    Vardas4996     2    3    3    6    8    5      4.76                4.20                
Pavarde2923    Vardas2923     1    3    4    6    8    5      4.76                4.60                
Pavarde9255    Vardas9255     2    3    4    5    8    5      4.76                4.60                
Pavarde5785    Vardas5785     2    3    4    6    7    5      4.76                4.60                
Pavarde7131    Vardas7131     2    2    3    7    8    5      4.76                4.20                
Pavarde9477    Vardas9477     2    3    4    4    9    5      4.76                4.60                
Pavarde4422    Vardas4422     1    4    4    6    7    5      4.76                4.60                
Pavarde7601    Vardas7601     1    2    3    6    10   5      4.76                4.20                
Pavarde2404    Vardas2404     1    3    4    7    7    5      4.76                4.60                
Pavarde4278    Vardas4278     2    3    5    5    7    5      4.76                5.00                
Pavarde8904    Vardas8904     1    3    3    6    9    5      4.76                4.20                
Pavarde5071    Vardas5071     1    2    6    6    7    5      4.76                5.40                
Pavarde9967    Vardas9967     1    2    2    8    9    5      4.76                3.80                
