Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ     
Vardas455      Pavarde455     6    9    2    9    8    7       
Vardas456      Pavarde456     4    2    5    4    7    8       
Vardas457      Pavarde457     3    3    4    7    5    8       
Vardas458      Pavarde458     10   2    7    6    1    1       
Vardas459      Pavarde459     5    8    6    1    3    2       
Vardas460      Pavarde460     5    4    8    4    3    10      
Vardas461      Pavarde461     7    1    4    4    6    2       
Vardas462      Pavarde462     1    7    3    5    2    5       
Vardas463      Pavarde463     3    4    5    2    4    6       
Vardas464      Pavarde464     1    9    9    4    2    10      
Vardas465      Pavarde465     9    8    2    9    2    2       
Vardas466      Pavarde466     9    9    4    7    10   8       
Vardas467      Pavarde467     1    7    4    9    1    4       
Vardas468      Pavarde468     7    9    4    7    3    8       
Vardas469      Pavarde469     5    5    4    9    8    1       
Vardas470      Pavarde470     3    6    10   8    5    5       
Vardas471      Pavarde471     3    3    9    4    3    2       
Vardas472      Pavarde472     6    8    2    3    2    5       
Vardas473      Pavarde473     9    6    1    6    9    9       
Vardas474      Pavarde474     10   1    7    10   6    10      
Vardas475      Pavarde475     4    9    9    7    9    3       
Vardas476      Pavarde476     5    1    7    5    5    7       
Vardas477      Pavarde477     7    4    1    9    3    9       
Vardas478      Pavarde478     9    10   5    4    9    9       
Vardas479      Pavarde479     3    4    9    7    10   9       
Vardas480      Pavarde480     4    9    2    5    6    6       
Vardas481      Pavarde481     9    9    2    5    1    6       
Vardas482      Pavarde482     5    2    3    10   3    6       
Vardas483      Pavarde483     3    7    6    1    2    6       
Vardas484      Pavarde484     1    5    6    6    10   1       
Vardas485      Pavarde485     8    7    2    2    5    9       
Vardas486      Pavarde486     5    1    9    7    8    2       
Vardas487      Pavarde487     8    10   3    5    7    2       
Vardas488      Pavarde488     2    10   5    9    9    9       
Vardas489      Pavarde489     3    6    3    9    5    5       
Vardas490      Pavarde490     2    2    5    3    6    2       
Vardas491      Pavarde491     1    5    4    3    5    5       
Vardas492      Pavarde492     2    3    10   9    2    3       
Vardas493      Pavarde493     5    3    3    4    2    10      
Vardas494      Pavarde494     4    3    2    4    6    1       
Vardas495      Pavarde495     3    4    5    1    9    5       
Vardas496      Pavarde496     5    4    6    5    4    10      
Vardas497      Pavarde497     5    4    6    7    6    3       
Vardas498      Pavarde498     2    10   8    7    8    6       
Vardas499      Pavarde499     8    8    4    10   2    10      
Vardas500      Pavarde500     7    4    8    4    5    5       
Vardas501      Pavarde501     2    1    1    9    7    3       
Vardas502      Pavarde502     5    9    10   1    2    1       
Vardas503      Pavarde503     7    9    9    7    7    6       
Vardas504      Pavarde504     5    1    1    2    5    8       
Vardas505      Pavarde505     10   6    8    5    9    7       
Vardas506      Pavarde506     9    5    8    1    5    2       
Vardas507      Pavarde507     9    7    5    7    1    4       
Vardas508      Pavarde508     1    10   3    5    8    8       
Vardas509      Pavarde509     7    1    3    1    2    3       
Vardas510      Pavarde510     1    2    4    6    6    5       
Vardas511      Pavarde511     5    8    1    6    1    9       
Vardas512      Pavarde512     1    10   5    5    9    9       
Vardas513      Pavarde513     7    10   7    3    1    3       
Vardas514      Pavarde514     5    5    6    6    4    9       
Vardas515      Pavarde515     6    7    1    9    3    5       
Vardas516      Pavarde516     4    9    4    7    10   6       
Vardas517      Pavarde517     3    10   9    8    2    3       
Vardas518      Pavarde518     5    8    5    3    1    2       
Vardas519      Pavarde519     7    7    1    8    7    4       
Vardas520      Pavarde520     5    1    10   3    6    10      
Vardas521      Pavarde521     2    8    7    6    10   2       
Vardas522      Pavarde522     6    4    7    8    4    9       
Vardas523      Pavarde523     2    9    4    2    7    4       
Vardas524      Pavarde524     7    4    8    9    9    7       
Vardas525      Pavarde525     1    8    8    2    8    1       
Vardas526      Pavarde526     10   10   7    7    1    1       
Vardas527      Pavarde527     6    9    1    2    6    3       
Vardas528      Pavarde528     8    6    7    2    8    8       
Vardas529      Pavarde529     7    7    7    6    1    5       
Vardas530      Pavarde530     4    1    6    6    7    7       
Vardas531      Pavarde531     8    10   1    10   4    5       
Vardas532      Pavarde532     3    9    1    10   8    8       
Vardas533      Pavarde533     7    9    4    3    4    6       
Vardas534      Pavarde534     1    4    4    5    6    7       
Vardas535      Pavarde535     8    1    6    7    1    5       
